"name","date","favno","retno","text"
"vfgrant","1448661934","0","0","didnt get a magazine
yells EASYJET SUCKS
opened all airplane doors
jumps
dies
then yells plz tp me"
"welterw888","1448661890","0","0","dont think you can help Have sent emails to your offices which have all been ignored"
"easyJet","1448661792","0","0","Hi Kev Sorry to hear that you feel this way Could we assist you via Twitter Iryna"
"AliDifonzo","1448661750","2","0","no pointless youve already told me twice by phone call you can do nothing Down to your policy"
"easyJet","1448661658","0","0","Hi Alexis It shouldnt be a problem however please check if you have the requeired travel documents Iryna"
"easyJet","1448661551","0","0","Hi Alexandra Please send us a DM with your request and details so that we could look into it and advise you accordingly Iryna"
"dodep","1448661431","0","1","Denied from boarding an flight to France for only having a valid Belgian Ecard Miss you Schengen"
"DamionJobling","1448661208","0","0","Having to pack my life in a suitcase of kg is hell Antibes work"
"RayanDkhilFLY","1448661188","0","0","RT planelovers Airbus a
EasyJet
Infinite Flight
 airbus a alovers airbuslovers easyjet infiniteflight ap"
"easyJet","1448661180","0","0","Hi Debbie Please accept our apologies for the inconvenience you have this time Iryna"
"lowcostinfo","1448661071","0","0","Trendsetters LightUp Smart Uniforms for easyJet lowcost easyjet"
"ffotodavid","1448660956","2","0","Doesnt happen in Easyjet or Ryanair"
"nuriam77","1448660953","0","6","to open new operational base at Barcelona Airport in early Closed its base in Madrid in"
"bimcook","1448660711","0","0","this is crazy I have been asked this question so many times and conformed Check your records"
"therealgamingpc","1448660641","0","0","RIP easyJet Plus line"
"SpecialPlanes","1448660569","0","0","easyJet is expected to arrive at London Gatwick EGKKLGW in minutes at PM GMT flightaware"
"Leidenschaft111","1448660499","0","0","Imagine if someone popped u with Im months pregnant yours goodbye England hello cheapest EasyJet flight"
"UdoDreher","1448660011","0","0","is easyJet Wien YouTube Arena there"
"alex07fcb","1448659978","0","0","cheaper than Easyjet on the day"
"welterw888","1448659861","1","0","Seems policy for handling complaints is to just ignore all correspondence"
"traiglarbx","1448659625","0","1","Making easyJet plus Tix i think ur drunk but most people Economy Where like this"
"alx_perr","1448659212","0","0","OK will do being denied boarding on my outbound flight doesnt cancel inbound does it thanks a million"
"AliDifonzo","1448659044","0","0","and hear from a friend that do otherwise through a friend I no which airline Ill be going through in future"
"LondonFoodFinds","1448659042","0","1","Cant believe I paid to change my bfs flight name from Tommy to Thomas when I paid for the flight n"
"AliDifonzo","1448658972","1","0","Safe to say will never fly with again cant fly this weekend due to my mums serious health reasons and no sort of refund"
"AroundGlobe1","1448658929","0","0","MLG PARTY COME NOWWWW AT easyJet"
"Princess_Debz","1448658746","0","0","delay isnt significant enough for any entitlement but its the knockon effect Well have a hour wait for next coach home"
"ImranAbim","1448658321","0","0","BLOG IMRAN IG ABIM LTD Easyjet cancels Sharm elSheikh flights"
"easyJet","1448658043","0","0","Hi Alexis Please send us a DM wit your booking number amp more details so that we could look into it and advise you Iryna"
"easyJet","1448657969","0","0","Hi Tim Please feel free to send us a DM with your request if there is anything we could assist you with via Twitter Iryna"
"StackAviation","1448657945","0","0","Is there a particular reason that EasyJet uses U as their code airlineoperations"
"IChronicle","1448657887","0","0","Does the market fully recognise the longterm strength of budget airline easyJet"
"easyJet","1448657843","0","0","HiYou have to wait for our November schedule releaseIm afraid we dont have info about this schedule release dateIryna"
"creepyboyNL","1448657759","3","1","Making easyJet plus Tix i think ur drunk but most people Economy Where like this"
"easyJet","1448657711","0","0","Hi Thomas Sorry to hear about your experiencePlease check this link for useful information Iryna"
"easyJet","1448657628","0","0","Hi Chris We just ask to delete the tweet with passengers personal information booking reference number in this caseIryna"
"alx_perr","1448657485","0","0","thanksno refund or anything i suppose"
"easyJetNews","1448657462","0","0","Easyjet Plc Stock Rating Reaffirmed by Beaufort Securities ESYJY Financial Wisdom Works"
"easyJet","1448657446","0","0","Hi Alexis Sorry to hear that Please see this link for info Iryna"
"easyJet","1448657334","0","0","Hi Sorry to hear about that Please see these links for information Iryna"
"clayton_morag","1448657276","1","0","Customer segmentation not a new concept think British Airways vs Easyjet but increasingly impt for banks"
"easyJet","1448657254","0","0","Hi Sarah If you book the luggage onlineit would be added for all flights in your booking Iryna"
"easyJet","1448657145","0","0","Hi Debbie Sorry to hear that you feel this way Please see this link for your entitlements Iryna"
"bimcook","1448657137","1","0","Your customer services are still open Any response would be welcome NoChance on current performance"
"easyJet","1448657075","0","0","Hi SarahPlease feel free to send us a DM with more details so that we could look into it and advise you accordinglyIryna"
"easyJet","1448656997","0","0","Hi Sarah The fee is EUR per item per flight For more info please see Iryna"
"easyJet","1448656871","0","0","Hi Katie Please accept our apologies for all inconvenience you have this time Iryna"
"pajcoyle","1448656869","0","0","early again"
"thefierychef","1448656852","0","0","Hi when can I book flights to Alicante for November"
"flyinsider","1448656814","0","0","Easyjet to add th aircraft to its Edinburgh operations"
"easyJet","1448656789","0","0","Please see this link for more information Iryna"
"easyJet","1448656765","0","0","Hi LorenzoSorry to hear that you feel this wayHoweverour customers may be asked to put their cabin bags in the hold"
"Beatrice_CHENE","1448656676","0","1","EasyJet orders an additional Airbus A family aircraft total now aviation A"
"LeviMike","1448656667","3","0","we will be there will give a shout for you ����"
"roger1948hardi1","1448656492","0","2","Why book speedy boarding for an flight when your flight is delayed for more than a hour not soooo speedy"
"jake1977middle3","1448656413","0","1","Seriously how can every single one of ur flights be delayed Honest to god"
"RayanDkhilFLY","1448656374","0","0","RT from manhee Out from the sky easyJet avgeek A sky flying travel LGW KEF"
"thomasshieldsxo","1448656314","0","1","Seriously how can every single one of ur flights be delayed Honest to god"
"Cal_1324","1448656128","0","0","Any Update on the new operator Hoping its Ryanair or Norwegian from BFS"
"leighdineen","1448656041","1","0","Not easyjet Premier league on the pitch nd div off it"
"ChrisDolan14","1448656037","0","0","where are the sensitive details You just want the negative tweets off the timeline"
"CrouchBernard","1448655976","0","1","Ha well its none within three hours Youre not secretly planning on keeping me here that long are you"
"LeviMike","1448655836","0","1","��will follow via Bluesplayer"
"CarolinevWezel","1448655677","3","1","��will follow via Bluesplayer Come on Blues����"
"myflightcomp","1448655510","0","2","Why book speedy boarding for an flight when your flight is delayed for more than a hour not soooo speedy"
"russbmckenzie","1448655456","1","0","Hilarious commentary from our pilot on the flight back from Belfast to finish the trip off"
"alx_perr","1448655333","0","1","Denied from boarding an flight to France for only having a valid Belgian Ecard Miss you Schengen"
"Letificus","1448655311","0","2","Why book speedy boarding for an flight when your flight is delayed for more than a hour not soooo speedy"
"LeviMike","1448655290","2","0","big game tomorrow Caroline hope to see you there ⚽️"
"myflightcomp","1448655118","0","1","Why book apeedy boarding for an flight when your flight is delayed for more than a hour not soooo speedy"
"LeviMike","1448655083","0","2","Dutch ️ Our gateway to English ⚽️ only minutes flight with ��"
"Dutch_Shrimpers","1448655043","0","2","Dutch ️ Our gateway to English ⚽️ only minutes flight with ��"
"Letificus","1448655028","0","1","Why book apeedy boarding for an flight when your flight is delayed for more than a hour not soooo speedy"
"thomasbridge","1448654984","0","0","Am really hoping the slightly drunk Liverpool fans are on the Easyjet flight"
"Letificus","1448654971","0","0","flight EZY delayed for more than hour due to air traffic control restrictions just another excuse for inability"
"CarolinevWezel","1448654944","4","2","Dutch ️ Our gateway to English ⚽️ only minutes flight with ��"
"patrick1978lov1","1448654911","0","1","Wonders if ever have any flights which run on time delayed late sameoldstory"
"sarahcavanagh90","1448654815","0","0","Does one hold item include return flight Im confused"
"Princess_Debz","1448654792","0","1","Wonders if ever have any flights which run on time delayed late sameoldstory"
"sarahcavanagh90","1448654649","0","0","or have I got confused and pressed the button twice"
"gexivykacinu","1448654644","0","0","British Airways and Easyjet cancel all flights between the Egyptian resort of Sharm elSheikh until January in the wake of last months"
"sarahcavanagh90","1448654572","0","0","Maybe Im seeing things here but are you honestly charging euros for hold luggage for a return flight from Madrid to Liverpool"
"hunter1507","1448654536","0","0","still waiting for bags at Madrid cabin bags we had to put in the hold at Gatwick due to space now hr late to meet our amigos"
"easyJet","1448654407","0","0","Hi ChrisWeve already asked Jenna to send us a DM with more detailsPlease delete your tweet due to security reasons Iryna"
"ParabolaSpain","1448654165","0","0","Teach English in Spain Families host you provide meals in return homestaysinspaincom RT"
"easyJet","1448654089","0","0","Hi AmySorry to hear about that Please see these links for info Iryna"
"easyJet","1448654028","0","0","Hi JonathanSorry to hear about your experiencePlease see this link for your entitlements Iryna"
"Max777W","1448653931","0","1","RECORD easyJet flight server filled up in seconds"
"easyJet","1448653926","0","0","Hi Vicky Please check this link for the required information Iryna"
"StanstedLondon","1448653914","0","0","EasyJet announced summer schedule from Stansted to other destinations across Europe stansted"
"easyJetNews","1448653863","0","0","FLASH Investec retains buy on target raised from p to p Stock Market Wire"
"easyJet","1448653855","1","0","Hi Ben Thank you for your feedback Iryna"
"easyJet","1448653783","0","1","Hi Thank you for bringing this to our attention Iryna"
"gitebrittany","1448653682","0","1","amp up New Route Flights from Bristol to Nantes with Book Now CheapFlights"
"traiglarbx","1448653673","8","1","RECORD easyJet flight server filled up in seconds"
"MartinPPorter","1448653055","1","0","Dont break anything Easyjet will bill you for that ��"
"AlexHeselden","1448652748","0","2","hi Iryna Ive done all the links and Ive multiple calls and emails and Im just looking to see if any others are"
"Chelsea_Jadee","1448652720","0","2","hi Iryna Ive done all the links and Ive multiple calls and emails and Im just looking to see if any others are"
"AlexHeselden","1448652702","0","2","sharmelsheikh Is anyone else having problems with being reimbursed their additional expenses after the Sharm de"
"Chelsea_Jadee","1448652700","0","2","sharmelsheikh Is anyone else having problems with being reimbursed their additional expenses after the Sharm de"
"Robreferee","1448652537","1","2","hi Iryna Ive done all the links and Ive multiple calls and emails and Im just looking to see if any others are having problems"
"lorenzocantoni","1448652354","0","0","Even if i have the card ive been forced to leave my only bag Is this a service"
"paul1957burrows","1448652056","0","1","Overnight in Valencia Easyjet deals Top tricks to find cheap flights and holidays to Europe hacks to find htt"
"easyJet","1448652050","0","0","Hi Rob Please check this link amp feel free to send us DM with more details Iryna"
"zymykilaqop","1448651944","0","0","British budget airline Easyjet on Tuesday said it had cancelled all flights to and from the Egyptian resort of Sharm elSheikh until next"
"growthstockninj","1448651837","0","1","Connor Campbell TalkTalk EasyJet Baratt Developments SAB Miller ftse unlikely to break http"
"lewmk","1448651836","0","0","easyjet thank you for being late on a Friday night"
"easyJet","1448651781","1","0","Hi Daniele Thank you for bringing this to our attention Iryna"
"ChrisDolan14","1448651524","0","0","Another multi million pound firm putting customer service last Sort it out"
"ViaggiandoIt","1448651310","0","0","EasyJet Holidays Sconto del"
"DanielCampbellp","1448651265","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"WorlWindWriting","1448651035","0","1","VIGLONEW RT WearableStyle EasyJet uniforms help wearabletech permeate the airline industry"
"Chloe33Williams","1448651006","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"Oliwiagorska","1448650878","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"VIGLONEW","1448650876","0","1","uniforms help wearabletech permeate the airline industry wearables IoT"
"easyJet","1448650865","0","0","Hi Martin Thank you for the message well do our best to assist you shortly Iryna"
"easyJet","1448650807","1","0","Hi Please see this link for the required information Iryna"
"easyJet","1448650715","0","0","Hi Claudio Sorry to hear that However even in case of delay you should refer to the scheduled departure time Iryna"
"Lea___Smith","1448650694","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"AmyLMenzies","1448650432","0","0","Very grumpy no pilot and meant to be in the air No comms Very very grumpy"
"JonathanMurrill","1448650418","1","0","been on three easy jet flights in the past month All have been delayed Awful airline"
"easyJetNews","1448650262","0","0","plc Given Average Recommendation of Buy by Brokerages LONEZJ WKRB News"
"Amiigomobile","1448650238","0","0","Easyjet to increase Scotland services with new aircraft From next summer the lowcost carrier will have eigh"
"vickysp83","1448650123","0","0","if im travelling with an infant under do I get a hand luggage allowance for them so I can take items such as food and bottle pls"
"benjav22","1448650042","1","0","Loving the a with sharklets Very impressed with the new interior Tonnes of legroom and very comfy"
"jsyvibert","1448649938","0","31","Ding dong New route alert Book your Spring break to Jersey now"
"WesternRobin","1448649918","0","1","Why are easyJet promoting cheap flights to Paris"
"benjav22","1448649521","0","0","Look at all that legroom Easyjet aneo"
"Alicia_campbel","1448649347","1","0","flights to diff directions with in weeks delays well done"
"Ardarielle","1448649180","0","0","Fuck u easyjet desk in amsterdam"
"voyagester","1448649165","0","0","Easyjet flight from Rome to Berlin travel vacation"
"chowsa12","1448649158","1","0","That time you get the random exit row aisle seat without paying extra boomgoesthedynamite Easyjet luck"
"bertrandrussel_","1448649009","0","0","It is better to travel well than by easyJet Buddha"
"AuthorAkansha","1448648970","1","122","Hi Iryna Howre you doing today HappyThanksgiving"
"Duke_of_Monton","1448648923","0","0","Lpl Geneve worth mentioning the cabin crew didnt bother checking boarding passes as passengers boarded Fingers crossed"
"LittleL79","1448648812","0","0","not planning on a next time Its a crap way to treat a customer who has been flying with you regularly for yrs poor show guys"
"weather2travel","1448648727","0","0","Book an easyJet holidays getaway amp enjoy off the total blackfriday travel"
"martingroot82","1448648713","0","0","can you please confirm my confirmation so we can let this all behind Why is it always taking so long Please check your inbox"
"jasperkl","1448648703","0","0","just suggesting a new route Adam Paris to tickle the competition ��"
"benjav22","1448648488","1","0","I know I am sooo excited haha Best flight coming up I think ��️"
"CHERYL_L_BURKE","1448648462","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"Robreferee","1448648317","2","2","sharmelsheikh Is anyone else having problems with being reimbursed their additional expenses after the Sharm delays"
"Mark_Lewis_NYC","1448648185","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"MICHAELSHENBER","1448648050","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"AdamBrazell","1448648026","0","0","Lol seems legit ��"
"danieledinepi","1448647991","2","0","Good spelling isdrael Israel"
"roe_toni","1448647973","0","0","are you going to bother replying or not"
"easyJet","1448647935","0","0","Hi Paul Thank you for bringing this to our attention Apologies for the inconvenience Iryna"
"DOUGLAS_s_skib","1448647856","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"easyJet","1448647777","0","0","Hi Casey Thank you for your DM well look into it as soon as we can Iryna"
"MccFredrick","1448647768","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"chanfrong","1448647697","1","0","THIS is why you got problems not fuckin Syrian refugees Syrian refugees arent exactly flying easyjet"
"BRIAN__RANDLE","1448647694","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"benjav22","1448647636","1","0","At last One of new As with wl taking me home to tonight Been waiting ages"
"lilyday97","1448647616","0","0","how much can hand luggage weigh"
"bimcook","1448647603","1","0","Let down AGAIN by when will somebody call me Promises broken again"
"4_quigley","1448647569","0","0","EasyJet BA cancel Sharm elSheikh flights until at least January after Russian plane bombing"
"KARA_SMITH124","1448647457","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"CANDICE_COSFIN","1448647444","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"whynotUK","1448647362","0","1","Brain ache from todays emergenetics sessions with finally made it to via Glasgow with"
"whynotUK","1448647353","0","0","Have a fun weekend Ben Sorry for the Brain ache I did warn you"
"hootdipak","1448647262","0","0","No problem I completely understand I did get a reply from your colleague in the end but havent heard back after I replied"
"JORDAN_N_LEVEY","1448646995","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"MAUREEN_WHITE_","1448646868","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"Magsokeeffe","1448646769","0","0","thanks thats so handy"
"easyJet","1448646627","1","0","Hi Anne Thank you for your feedback Iryna"
"easyJet","1448646596","0","0","Hi Simon Please see this link for information Iryna"
"Englishian","1448646581","0","0","I booked EasyJet flights to Barca for nearly Its via Ryanair ��"
"loubee_louise","1448646573","0","0","Plane arrived at luggage due before no luggage to be seen at in Manchester get some info to us"
"easyJet","1448646531","0","0","Hi Akansha Thank you Have a nice evening Iryna"
"tmmck79","1448646468","0","0","hi iryna I accept that but when will this stop Its v inconvenient to passengers esp those with children"
"easyJet","1448646414","0","0","Hi Talia Thank you for your DM well do our best to assist you shortly Iryna"
"matthew1471","1448646376","0","0","Yo get it together please ��"
"easyJet","1448646311","0","0","Hi Thérèse Please accept our apologies for the inconvenience Thank you for bringing this to our attention Iryna"
"i3eth_","1448646187","0","0","my easyjet ones were still cheap but wow ryanair bargain"
"stuartdunlop93","1448646081","1","0","Would you mind sitting in the exit row for me The sweetest of words"
"NCLairport","1448645943","0","0","Were sorry for the inconvenience Simon Well feed this back to our terminal management"
"martingroot82","1448645935","0","0","please check your inbox for confirmation Thank you"
"nold_al","1448645920","0","0","Hello can i still take my violin and a suitcase on ur plane without paying for more"
"DragoncatSonata","1448645917","0","11","Christmas is nearly here Get in the festive mood in Pragues chocolateboxpretty Old Town DestinationOfTheWeek"
"easyJet","1448645906","0","0","Hi BradleySorry to hear about your flight delayPlease see this link for the latest updates Iryna"
"SardoneClaudio","1448645852","0","0","told me flight was delayed but it wasnt in realityMissed it scam to make me buy a new ticket furious"
"easyJet","1448645851","0","0","Hi Matthew Im sorry to hear about this Please see this link for your entitlements Iryna"
"i3eth_","1448645838","0","0","NO WAY i just bought flights to london there now on easyjet"
"easyJet","1448645802","0","0","Hi Alessandro Please see this link for the information Iryna"
"AndrewHornet","1448645712","0","3","Fireflash Hypersonic Airliner FantasyAirForce AviationHub Thunderbirds EasyJet"
"PRMutton","1448645657","0","0","Not reaping the benefits of being a Pluscard holder when LGW staff shove anyone with a suitcase over to the Pluscard checkin desk"
"easyJet","1448645601","0","0","Hi Mags Please see this link for information Iryna"
"easyJet","1448645488","0","0","Hi Martin Please check your DMs for our response Iryna"
"HolidayHudson","1448645369","0","0","your boarding policy is a joke Get passport and boarding pass scanned twice in m By the same person WTF"
"AmConsumerNews","1448645352","0","0","easyJet plcs Buy Rating Reaffirmed at Citigroup Inc EZJ acn"
"Czseoul","1448645140","0","0","where is a good question Im somewhere between Basel and Hamburg In a aircraft�� Happy Weekend"
"JILL_C_PETTY","1448644785","0","89","We love this superb fisheye view of a birdseye"
"nicolaspascal","1448644785","0","1","lunches La Jeanette Easyjet flights reference to Justin Bieber uses of the word fantabulous"
"ArthurFooksake","1448644744","2","0","BrandAFilmOrSong Easyjet like Sunday morning"
"nealmartin","1448644574","4","1","lunches La Jeanette Easyjet flights reference to Justin Bieber uses of the word fantabulous"
"JILL_C_PETTY","1448644555","0","87","Did you see our th birthday TV ad over the weekend Heres the extended cut just for you TimeFlies"
"MAUREEN_WHITE_","1448644386","0","89","We love this superb fisheye view of a birdseye"
"GLA_Airport","1448644337","0","2","Thanks to for a great on time flight from to Now onwards to Cheltenham"
"Nick____Jones","1448644328","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"MAUREEN_WHITE_","1448644320","0","87","Did you see our th birthday TV ad over the weekend Heres the extended cut just for you TimeFlies"
"GayTripperUK","1448644188","1","0","Flight due to take off in mins and they havent even started to board us Plane is here waiting Staff are slow and deflated EasyJet"
"lowcostinfo","1448644157","0","0","Paris and Egypt attacks expected to have repercussions in the City lowcost easyjet"
"SeemaJindal5","1448644151","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"Vinayak89","1448644141","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"Angel_ashlien","1448644077","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"AileenJen","1448644066","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"csymrtn","1448644017","0","0","Hey I DMd you like requested Do you think it would be possible Thanks"
"DrHank178","1448644017","0","0","once again completely useless No control at all get the felling you just dont care"
"YAMILY_ALONSO","1448644012","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"HannahABuchan","1448644002","0","0","its okWe then got a voucher for being delayedonly to be told we were boarding mins later Only wasted a large wine"
"patrick1978lov1","1448643969","0","2","Thanks to for a great on time flight from to Now onwards to Cheltenham"
"easyJet","1448643963","0","0","Hi Paul Thank you for your feedback regarding our service Iryna"
"LINDA_MEYER_","1448643955","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"VICKIET_ENNIS","1448643902","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"markleeforrest","1448643898","0","0","Come fly with me easyjet easyjet"
"RAVENR_chardson","1448643897","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"MARY1L_MERRY","1448643884","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"annecrocks","1448643884","3","2","Thanks to for a great on time flight from to Now onwards to Cheltenham"
"MICHAEL_JJACK","1448643867","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"TERRY_4HESS","1448643750","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"LISA_MANDALA","1448643746","0","85","Hello there ThankYou for all your Tweets Love them all Have a great day Gratitude"
"easyJet","1448643647","0","0","Hi Hannah Sorry to hear that Thank you for bringing this to our attention Iryna"
"jerrybeh","1448643557","0","1","Four months emails and phone calls still no refund from easyjet for my flightcancellation Terrible custome"
"easyJet","1448643540","0","0","Hi Jasper As this page is operated in English only please feel free to write us in English Iryna"
"simrjones","1448643473","0","0","So Sat waiting for EZY and noone has the balls to announce its delay St customer service EasyJet ncl"
"easyJet","1448643434","0","0","Hi Sue Sorry to hear that you feel this way however thank you for your feedback Iryna"
"smug53","1448643393","0","0","yes realise that but you also have to play fair and update the screens to give us time to get to the gate mins"
"AuthorAkansha","1448643313","1","126","How are you doing today Wish you a very HappyFriday TGIF FF"
"easyJet","1448643274","0","0","you must present yourself at the gate no later than min prior to scheduled time of departure Iryna"
"easyJet","1448643206","0","0","Hi Sue Sorry to hear that However according to our rules"
"adamhawley5","1448643024","0","1","Ha well its none within three hours Youre not secretly planning on keeping me here that long are you"
"easyJet","1448642977","0","0","Hi Radu Please send us a DM with your request and more details Iryna"
